,RMS,原始值,增益倍数,,,
,441.4,2.03,1,,,
,269.18,1.505,1,,,
,185.5,1.04,1,,,
,144.41,0.707,1,,,
,129.07,0.53,1,,,
,35.81,191mA,1,,,
,18.34,75.5mA,1,,,
